id,R_class,P_class,Prob,spot_on,class_0_p,class_1_p,class_2_p,class_3_p,class_4_p
121196.jpg,class_0,class_0,0.9999442,1,0.9999442,6.6168067e-09,1.4785713e-08,5.5788012e-05,3.555715e-11
124977.jpg,class_0,class_0,0.9990589,1,0.9990589,7.881886e-06,3.7931347e-09,0.0009315641,1.6938108e-06
139821.jpg,class_0,class_0,0.99929106,1,0.99929106,1.0011037e-05,7.1037065e-09,0.000698928,2.856525e-09
151220.jpg,class_0,class_0,0.9999999,1,0.9999999,9.841905e-08,5.591986e-11,2.7263798e-09,1.1495685e-12
167426.jpg,class_0,class_0,0.5929008,1,0.5929008,5.3508387e-08,8.562567e-07,0.4070982,7.3778146e-08
171562.jpg,class_0,class_0,0.99997723,1,0.99997723,2.2784825e-05,4.852029e-12,9.033901e-09,5.796144e-11
192278.jpg,class_0,class_3,0.95597154,0,0.044028398,3.2287748e-09,4.317936e-08,0.95597154,3.0229668e-08
193397.jpg,class_0,class_3,0.8456298,0,0.15436581,4.9930276e-07,3.7182733e-06,0.8456298,2.4733905e-07
198628.jpg,class_0,class_0,0.99783915,1,0.99783915,1.5636895e-11,2.4398247e-10,0.0021608924,5.5905107e-12
217045.jpg,class_0,class_0,0.80379105,1,0.80379105,1.5454973e-06,1.9649065e-06,0.19620532,9.522927e-08
217289.jpg,class_0,class_0,0.9520809,1,0.9520809,0.0029729,7.335408e-08,0.04494248,3.5549035e-06
228308.jpg,class_0,class_0,0.95380074,1,0.95380074,0.046196833,9.412828e-10,2.2751476e-06,6.0647174e-08
246203.jpg,class_0,class_0,0.99368036,1,0.99368036,3.67635e-11,5.747785e-10,0.0063196206,3.1730843e-10
247491.jpg,class_0,class_3,0.53373003,0,0.4662696,3.0699235e-07,1.633046e-09,0.53373003,8.050712e-08
249699.jpg,class_0,class_0,1.0,1,1.0,7.5668334e-12,4.0841833e-11,1.720041e-09,1.173892e-10
254731.jpg,class_0,class_0,0.9998123,1,0.9998123,3.6413133e-11,2.2923899e-11,0.00018768446,1.9886696e-13
259107.jpg,class_0,class_0,0.8057528,1,0.8057528,9.493915e-07,8.7487855e-08,0.19424607,7.628396e-08
268349.jpg,class_0,class_0,1.0,1,1.0,5.8624816e-09,2.0810946e-13,2.904786e-09,3.5134015e-14
